EnsemblID;Name;Sequence;Comments;Phenotype;Chromosome;GeneSymbol;IsInheritanceKnown
ENSG00000187608;ISG15 ubiquitin-like modifier;NotRelevant;;Immunodeficiency 38, 616126 (3), Autosomal recessiveImmunodeficiency 38, 616126 (3);chr1;ISG15, G1P2, IFI15, IMD38;True
ENSG00000188157;Agrin;NotRelevant;;Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessiveMyasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3);chr1;AGRN, CMS8;True
ENSG00000186827;Tumor necrosis factor receptor superfamily, member 4;NotRelevant;mutation identified in 1 IMD16 family;?Immunodeficiency 16, 615593 (3), Autosomal recessive?Immunodeficiency 16, 615593 (3);chr1;TNFRSF4, TXGP1L, OX40, ACT35, IMD16;True
ENSG00000176022;UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6;NotRelevant;;Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessiveSpondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3);chr1;B3GALT6, SEMDJL1, EDSSPD2;True
ENSG00000107404;Dishevelled 1 (homologous to Drosophila dsh);NotRelevant;;Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominantRobinow syndrome, autosomal dominant 2, 616331 (3);chr1;DVL1, DRS2;True
ENSG00000197785;ATPase family, AAA domain-containing, member 3A;NotRelevant;one family with AR inheritance reported;Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominantHarel-Yoon syndrome, 617183 (3);chr1;ATAD3A, HAYOS;True
ENSG00000205090;Transmembrane protein 240;NotRelevant;;Spinocerebellar ataxia 21, 607454 (3), Autosomal dominantSpinocerebellar ataxia 21, 607454 (3);chr1;TMEM240, C1orf70, SCA21;True
ENSG00000078369;Guanine nucleotide-binding protein, beta polypeptide-1;NotRelevant;;Leukemia, acute lymphoblastic, somatic, 613065 (3)Mental retardation, autosomal dominant 42, 616973 (3);chr1;GNB1, MRD42;True
ENSG00000187730;Gamma-aminobutyric acid (GABA) A receptor, delta;NotRelevant;;{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant{Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3);chr1;GABRD, GEFSP5, EIG10, EJM7;True
ENSG00000157933;Avian sarcoma viral (v-ski) oncogene homolog;NotRelevant;formerly mapped to 1q22-q24;Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominantShprintzen-Goldberg syndrome, 182212 (3);chr1;SKI, SGS;True
ENSG00000157911;Peroxisome biogenesis factor 10;NotRelevant;;Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessivePeroxisome biogenesis disorder 6B, 614871 (3);chr1;PEX10, NALD, PBD6A, PBD6B;True
ENSG00000142611;PR domain-containing protein 16;NotRelevant;;Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominantLeft ventricular noncompaction 8, 615373 (3);chr1;PRDM16, MEL1, LVNC8, CMD1LL;True
ENSG00000235169;Small integral membrane protein 1;NotRelevant;;[Blood group, Vel system], 615264 (3), Autosomal recessive[Blood group, Vel system], 615264 (3);chr1;SMIM1, VEL;True
